76
(3-26),FINAL,-0.5926,1.8122,0,2.3838,1.7244,10.9418,1.0106,3.0552,0.7231,9.7342,13.8,13.8,-8.1618,-1.3138,-11.3513,-15.8346,-35.6995,-23.3684,-0.0010227,1.98E+00,6.56E-01,1.62E+01,5.40E+00,5.87E+01,1.96E+01,7.96E+01,2.65E+01,100,0.800272,80,0.870418993,0.129574213,6.79E-06,3.91E-10,2.13E-14,1.87E-15,0.070146766,0.929782219,6.15E-05,9.54E-06,5.27E-10,2.91E-11
(7-36),FINAL,0.2543,1.6187,0,2.6187,2.312,9.8221,9.8985,2.6009,3.4777,4.249,13.8,13.8,-14.2388,-3.5347,-15.5438,-15.6921,-34.1618,-21.8307,-0.0002698,1.99E+00,6.61E-01,1.63E+01,5.41E+00,5.78E+01,1.93E+01,7.77E+01,2.59E+01,100,0.795386,80,0.944783961,0.05520079,1.52E-05,6.26E-08,1.67E-11,4.19E-14,0.149397836,0.847018211,0.000803358,0.002776239,2.15E-06,2.21E-06
(16-21),FINAL,-0.6893,1.7997,0,0.702,4.4216,8.4361,5.6003,2.9663,6.164,0.7119,13.8,13.8,-11.7576,-2.9902,-11.2533,-16.7078,-34.8906,-22.5595,-0.0001461,1.98E+00,6.59E-01,1.62E+01,5.38E+00,5.70E+01,1.90E+01,7.62E+01,2.54E+01,100,0.794439,80,0.870470385,0.129490107,3.94E-05,1.48E-07,4.38E-11,3.13E-13,0.076030907,0.918334581,0.000637181,0.004985885,3.19E-06,8.25E-06
(5-29),FINAL,-0.4279,5.3326,0,3.3843,5.3833,0.032,4.5505,1.0646,5.5083,8.2017,13.8,13.8,-11.2981,-7.524,-16.0025,-21.5325,-35.1742,-22.8431,-0.0008254,1.95E+00,6.49E-01,1.61E+01,5.35E+00,5.86E+01,1.95E+01,7.96E+01,2.65E+01,100,0.794107,80,0.88620454,0.113706643,8.87E-05,1.07E-07,8.14E-11,2.28E-14,0.092097623,0.90217841,0.000889213,0.004823865,3.98E-06,6.91E-06
(13-48),FINAL,0.8316,2.2334,0,1.7769,2.7265,2.1674,4.6991,3.5157,7.9101,5.0105,13.8,13.8,-7.9622,-5.2423,-9.276,-14.9084,-33.4887,-21.1576,-0.0011691,1.99E+00,6.60E-01,1.61E+01,5.36E+00,5.59E+01,1.86E+01,7.43E+01,2.47E+01,100,0.78909,80,0.927558346,0.072432268,9.36E-06,2.59E-08,3.29E-12,1.68E-15,0.138468138,0.86045054,0.000281086,0.000799827,2.19E-07,1.89E-07
(12-97),FINAL,1.7041,3.1288,0,1.2286,1.2048,1.4993,5.1924,1.1052,5.3319,3.7143,13.8,13.8,-10.5589,-0.9552,-13.5128,-16.4142,-35.5888,-23.2577,-0.0000242,1.94E+00,6.45E-01,1.59E+01,5.30E+00,5.69E+01,1.90E+01,7.68E+01,2.56E+01,100,0.765368,80,0.921198001,0.078799878,2.11E-06,6.05E-09,1.78E-13,1.12E-15,0.155830243,0.84388877,6.79E-05,0.000213022,1.94E-08,2.19E-08
(10-48),FINAL,-0.2931,0.7724,0,0.7722,2.5646,9.8573,5.1379,2.0774,11.6275,4.7742,13.8,13.8,-10.0391,-3.045,-9.3897,-15.9308,-35.2282,-22.8971,-0.0004388,2.01E+00,6.71E-01,1.64E+01,5.48E+00,5.81E+01,1.94E+01,7.78E+01,2.59E+01,100,0.764343,80,0.956100889,0.043886292,1.28E-05,4.67E-08,1.28E-11,7.34E-14,0.191757427,0.80506165,0.000861468,0.00231543,2.20E-06,1.82E-06
(4-0),FINAL,0.6893,2.302,0,0.4938,6.1034,7.3447,4.5211,1.1242,4.7149,3.9539,13.8,13.8,-10.3055,-6.1015,-11.3128,-17.3047,-33.5135,-21.1824,-0.000746,1.96E+00,6.50E-01,1.60E+01,5.33E+00,5.72E+01,1.90E+01,7.69E+01,2.56E+01,100,0.752969,80,0.921241948,0.078671458,8.65E-05,8.75E-08,1.09E-10,1.40E-13,0.168273329,0.824754741,0.002010222,0.004940915,1.12E-05,9.64E-06
(14-83),FINAL,0.2743,2.1197,0,3.6288,3.1503,8.0451,7.5783,0.806,2.3467,1.4387,13.8,13.8,-10.6654,-3.3052,-12.1203,-17.1579,-35.0422,-22.7111,-0.0004325,1.90E+00,6.32E-01,1.56E+01,5.19E+00,5.61E+01,1.87E+01,7.58E+01,2.52E+01,100,0.750711,80,0.883164017,0.116801349,3.46E-05,2.79E-08,8.08E-12,1.97E-14,0.132452838,0.865520982,0.000483833,0.001540673,7.95E-07,8.79E-07
(2-57),FINAL,-0.7401,0.4266,0,2.0958,3.301,6.3962,4.9832,1.0039,4.5245,2.1835,13.8,13.8,-12.0516,-2.8315,-11.8787,-16.7792,-35.7835,-23.4524,-0.0000894,1.95E+00,6.50E-01,1.60E+01,5.33E+00,5.69E+01,1.89E+01,7.64E+01,2.54E+01,100,0.748887,80,0.954084763,0.045890064,2.51E-05,4.27E-08,2.21E-11,7.21E-14,0.205198131,0.790920687,0.001130416,0.002744049,3.74E-06,2.98E-06
